Symbol,Sector
BLUECOAST,Consumer Cyclical
BLUEDART,Industrials
BLUEJET,Healthcare
BLUESTARCO,Industrials
BLUSPRING,Industrials
BODALCHEM,Basic Materials
BOHRAIND,Basic Materials
BOMDYEING,Consumer Cyclical
BORANA,Consumer Cyclical
BOROLTD,Consumer Cyclical
BORORENEW,Technology
BOROSCI,Consumer Cyclical
BOSCHLTD,Consumer Cyclical
BPCL,Energy
BPL,Technology
BRIGADE,Real Estate
BRIGHOTEL,Consumer Cyclical
BRITANNIA,Consumer Defensive
BRNL,Industrials
BROOKS,Healthcare
BSE,Financial Services
BSHSL,Basic Materials
BSL,Consumer Cyclical
BSOFT,Technology
BTML,Communication Services
BUTTERFLY,Consumer Cyclical
BVCL,Basic Materials
BYKE,Consumer Cyclical
CALSOFT,Technology
CAMLINFINE,Basic Materials
CAMPUS,Consumer Cyclical
CAMS,Technology
CANBK,Financial Services
CANFINHOME,Financial Services
CANTABIL,Consumer Cyclical
CAPACITE,Industrials
CAPITALSFB,Financial Services
CAPLIPOINT,Healthcare
CAPTRUST,Financial Services
CARBORUNIV,Industrials
CARERATING,Financial Services
CARRARO,Consumer Cyclical
CARTRADE,Consumer Cyclical
CARYSIL,Consumer Cyclical
CASTROLIND,Energy
CCCL,Industrials
CCHHL,Consumer Cyclical
CCL,Consumer Defensive
CDSL,Financial Services
CEATLTD,Consumer Cyclical
CEIGALL,Industrials
CELEBRITY,Consumer Cyclical
CELLO,Consumer Cyclical
CENTENKA,Consumer Cyclical
CENTEXT,Basic Materials
CENTRALBK,Financial Services
CENTRUM,Financial Services
CENTUM,Technology
CENTURYPLY,Basic Materials
CERA,Industrials
CEREBRAINT,Technology
CESC,Utilities
CEWATER,Utilities
CGCL,Financial Services
CGPOWER,Industrials
CHALET,Consumer Cyclical
CHAMBLFERT,Basic Materials
CHEMBOND,Basic Materials
CHEMBONDCH,Basic Materials
CHEMCON,Basic Materials
CHEMFAB,Basic Materials
CHEMPLASTS,Basic Materials
CHENNPETRO,Energy
CHEVIOT,Consumer Cyclical
CHOICEIN,Financial Services
CHOLAFIN,Financial Services
CHOLAHLDNG,Financial Services
CIEINDIA,Consumer Cyclical
CIFL,Financial Services
CIGNITITEC,Technology
CINELINE,Communication Services
CINEVISTA,Communication Services
CIPLA,Healthcare
CLEAN,Basic Materials
CLEDUCATE,Consumer Defensive
CLSEL,Consumer Defensive
CMSINFO,Industrials
COALINDIA,Energy
COASTCORP,Consumer Defensive
COCHINSHIP,Industrials
COFFEEDAY,Consumer Cyclical
COFORGE,Technology
COHANCE,Healthcare
COLPAL,Consumer Defensive
COMPUSOFT,Consumer Defensive
COMSYN,Consumer Cyclical
